ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Cell width
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,Absicoccus porci,GCA_003725415,0.25
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,Abyssibacter profundi,GCA_003151135,0.50
132478,L81,"DSM 29592, JCM 30920",1,Vallitalea guaymasensis,GCA_003313305,0.5
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,Acanthopleuribacter pedis,GCA_017377855,0.85
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,Acaricomes phytoseiuli,GCA_000376245,0.65
164491,HSLZ-75,"JCM 33270, CICC 6269",1,Acetilactobacillus jinshanensis,GCA_004359375,0.65
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,Acetivibrio clariflavus,GCA_000237085,0.45
132679,GGR1,"DSM 101079, CECT 9155",1,Acetivibrio saccincola,GCA_002844395,0.2
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,Acetivibrio straminisolvens,GCA_000521465,0.75
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,Acetobacter cerevisiae,GCA_001580535,1
23,"985, R-36330","DSM 19596, LMG 24244",1,Acetobacter fabarum,GCA_011516925,0.8
22,"430A, R-29337","DSM 18895, LMG 23848",1,Acetobacter ghanensis,GCA_011516865,0.8
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,Acetobacter malorum,GCA_001580615,0.9
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,Acetobacter nitrogenifigens,GCA_000429165,0.15
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,Acetobacter oeni,GCA_011516825,0.85
21,CWBI-B418,"DSM 18889, LMG 23690",1,Acetobacter senegalensis,GCA_001580995,0.8
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,Acetomicrobium mobile,GCA_000266925,0.75
140509,,"LMG 3411, CCUG 62454",1,Achromobacter agilis,GCA_900496965,0.55
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,Achromobacter aloeverae,GCA_004121055,1.00
140506,,"LMG 3458, CCUG 62433",1,Achromobacter deleyi,GCA_902859705,0.55
140507,,"CCUG 62449, LMG 3441",1,Achromobacter kerstersii,GCA_902859595,0.55
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,Achromobacter marplatensis,GCA_003315095,0.75
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,Achromobacter pestifer,GCA_902859625,0.55
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,Acidibrevibacterium fodinaquatile,GCA_003352165,1.40
133383,SK-11,"DSM 100508, NBRC 111227",1,Acidicapsa acidisoli,GCA_025685625,0.85
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,Acidicapsa dinghuensis,GCA_025685685,0.60
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,Acidicapsa ligni,GCA_025685655,0.65
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,Acidimangrovimonas sediminis,GCA_002871005,1.90
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,Acidimicrobium ferrooxidans,GCA_000023265,0.38
158421,JS278,"DSM 106790, VTT E-113202",1,Acidipropionibacterium virtanenii,GCA_003325455,0.7
67,HS-AP3,"DSM 16009, JCM 10600",1,Acidisphaera rubrifaciens,GCA_000964365,0.85
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,Acidithiobacillus ferridurans,GCA_003966655,1.5
159192,CJ-2,"DSM 105150, KCTC 4683",1,Acidithiobacillus sulfuriphilus,GCA_003721225,0.5
133033,PMMR2,"DSM 27394, LMG 28340",1,Acidobacterium ailaaui,GCA_000688455,0.80
2903,R-24608,"DSM 19327, LMG 24103",1,Acidovorax caeni,GCA_001298675,0.9
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,Acidovorax kalamii,GCA_002245625,0.73
2905,N35,"DSM 23535, LMG 25767",1,Acidovorax radicis,GCA_000204195,0.40
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,Acidovorax soli,GCA_900107605,0.5
23868,NF 1078,"DSM 27981, CCUG 62584, LMG 26971",1,Acidovorax wautersii,GCA_900113035,0.45
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,Acinetobacter defluvii,GCA_001704615,0.75
140912,114,"CCUG 65204, DSM 27228",1,Acinetobacter equi,GCA_001307195,0.8
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,Acinetobacter indicus,GCA_000488255,1
133403,BRTC-1,"ACCC 19936, JCM 31367",1,Acinetobacter larvae,GCA_001704115,0.50
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,Acinetobacter nectaris,GCA_000488215,1.5
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,Acinetobacter piscicola,GCA_002233755,0.90
164465,S23,"JCM 33150, KACC 19921",1,Acinetobacter pullicarnis,GCA_006352475,0.70
24522,R46,"DSM 28448, CECT 7668, KCTC 23349",1,Actibacterium mucosum,GCA_000647975,0.35
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,Actibacterium pelagium,GCA_002285415,0.90
141055,LS-811,"BCRC 80823, JCM 30681",1,Actibacterium ureilyticum,GCA_002285435,0.70
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,Actinoallomurus purpureus,GCA_024055795,0.75
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,Actinobaculum suis,GCA_900102025,0.40
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,Actinocatenispora rupis,GCA_016861975,0.45
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,Actinocatenispora thailandica,GCA_016865425,0.35
132014,OB1,"DSM 45618, ATCC BAA-2771",1,Actinocrinis puniceicyclus,GCA_018283645,1.25
13207,ID 03-0561,"DSM 45656, BTCC B554, NBRC 104211",1,Actinokineospora baliensis,GCA_016907695,1.75
13209,ID 03-0810,"DSM 45657, BTCC B-558, NBRC 105526",1,Actinokineospora cianjurensis,GCA_003663795,1.75
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,Actinomadura flavalba,GCA_000374305,0.6
140372,pika_113,"DSM 104049, CGMCC 4.7372",1,Actinomyces gaoshouyii,GCA_002072175,0.50
166249,2129,"CGMCC 4.7483, DSM 106426",1,Actinomyces lilanjuaniae,GCA_003606385,0.50
192,4401292,"DSM 23047, CCUG 53522, KCTC 15158, CSUR P18, JCM 16130, CIP 109360",1,Actinomyces massiliensis,GCA_000269805,0.54
159350,410,"DSM 106201, CGMCC 1.16361",1,Actinomyces qiguomingii,GCA_004102025,0.40
193,7400942,"KCTC 15137, DSM 23838, CCUG 55928, CSUR P35",1,Actinomyces timonensis,GCA_000295095,0.40
140287,VUL7,"DSM 103437, CGMCC 4.7366",1,Actinomyces vulturis,GCA_001687305,0.65
196,"2298, 2298/06","DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472",1,Actinomyces weissii,GCA_016598775,1.25
24730,H55,"DSM 45460, CCUG 62965",1,Actinopolyspora mzabensis,GCA_900101095,0.55
