ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Gram stain
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,Abiotrophia defectiva,GCA_000160075,positive
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,Absicoccus porci,GCA_003725415,positive
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,Abyssibacter profundi,GCA_003151135,negative
132478,L81,"DSM 29592, JCM 30920",1,Vallitalea guaymasensis,GCA_003313305,positive
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,Acanthopleuribacter pedis,GCA_017377855,negative
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,Acaricomes phytoseiuli,GCA_000376245,positive
164491,HSLZ-75,"JCM 33270, CICC 6269",1,Acetilactobacillus jinshanensis,GCA_004359375,positive
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,Acetivibrio clariflavus,GCA_000237085,variable
157972,N2K1,"DSM 107956, CECT 9704",1,Acetivibrio mesophilus,GCA_004102745,positive
132679,GGR1,"DSM 101079, CECT 9155",1,Acetivibrio saccincola,GCA_002844395,positive
2,L 40,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,Acetobacter aceti,GCA_000193495,negative
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,Acetobacter cerevisiae,GCA_001580535,negative
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,Acetobacter cibinongensis,GCA_000963925,negative
23,"985, R-36330","DSM 19596, LMG 24244",1,Acetobacter fabarum,GCA_011516925,negative
22,"430A, R-29337","DSM 18895, LMG 23848",1,Acetobacter ghanensis,GCA_011516865,negative
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,Acetobacter malorum,GCA_001580615,negative
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,Acetobacter nitrogenifigens,GCA_000429165,negative
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,Acetobacter oeni,GCA_011516825,negative
16,21F-2,"DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379",1,Acetobacter orientalis,GCA_000963965,negative
21,CWBI-B418,"DSM 18889, LMG 23690",1,Acetobacter senegalensis,GCA_001580995,negative
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,Acetobacter syzygii,GCA_000964225,negative
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,Acetomicrobium mobile,GCA_000266925,negative
17778,RWcit2,"DSM 13490, ACM 5076",1,Acetomicrobium thermoterrenum,GCA_900107215,negative
97,"PG 8, PG8","DSM 23060, ATCC 23206, CIP 75.27, IFO (now NBRC) 14400, NCTC 10116, CCUG 32754",1,Acholeplasma laidlawii,GCA_003385765,negative
156528,"LiPuma AU4014, Vandamme R-31134","CCUG 62438, LMG 26852, CIP 110713, DSM 115985",1,Achromobacter aegrifaciens,GCA_902859735,negative
140509,,"LMG 3411, CCUG 62454",1,Achromobacter agilis,GCA_900496965,negative
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,Achromobacter aloeverae,GCA_004121055,negative
130142,"AU15230, AU 15230, R-46662","DSM 29601, CCUG 61966, LMG 26690, CIP 110841",1,Achromobacter animicus,GCA_902859585,negative
156534,"Vandamme R-47433, LiPuma AU11412","CCUG 62444, LMG 26857, CIP 110712",1,Achromobacter anxifer,GCA_903652925,negative
140506,,"LMG 3458, CCUG 62433",1,Achromobacter deleyi,GCA_902859705,negative
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,Achromobacter denitrificans,GCA_001571365,negative
136807,Aulb.court,"CIP 60.83, CCUG 61949, LMG 1860, JCM 20672, IAM 12595",0,Achromobacter denitrificans,GCA_902859985,negative
134918,"Vandamme R-47430, LiPuma AU4012, AU4012, R-47430","CIP 110711, LMG 26840, CCUG 62421, DSM 115983",1,Achromobacter dolens,GCA_902859745,negative
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,Achromobacter insolitus,GCA_001971645,negative
136698,"LiPuma AU15210, Vandamme R-47438","CIP 110710, LMG 26845, CCUG 62426, DSM 115984",1,Achromobacter insuavis,GCA_902859645,negative
140507,,"CCUG 62449, LMG 3441",1,Achromobacter kerstersii,GCA_902859595,negative
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,Achromobacter marplatensis,GCA_003315095,negative
130143,"AU 13054, R-46658","DSM 29602, LMG 26685, CCUG 61961, CIP 110844",1,Achromobacter mucicolens,GCA_902859725,negative
136829,,"CIP 60.81, ATCC 13138, JCM 20671, IAM 12594, LMG 3415, JCM 9658",0,Achromobacter mucicolens,GCA_902859995,negative
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,Achromobacter pestifer,GCA_902859625,negative
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,Achromobacter piechaudii,GCA_001571245,negative
130144,"E38/27-S, R-16442","DSM 29617, CCUG 61972, LMG 26696, CIP 110842",1,Achromobacter pulmonis,GCA_902859765,negative
309,,"DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494",1,Achromobacter ruhlandii,GCA_902859695,negative
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,Achromobacter spanius,GCA_002812705,negative
168915,,"LMG 30378, CCUG 71558",1,Achromobacter veterisilvae,GCA_900496975,negative
136825,,"CIP 71.33, JCM 9660, ATCC 27062, IAM 12685, LMG 3429, NCTC 10808",0,Achromobacter xylosoxidans,GCA_900475575,negative
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,Achromobacter xylosoxidans subsp. xylosoxidans,GCA_000508285,negative
17960,,"DSM 2784, Glu 65, CIP 106102",1,Acidaminobacter hydrogenoformans,GCA_900103005,negative
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,Acidaminococcus fermentans,GCA_000025305,negative
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,Acidaminococcus intestini,GCA_000425045,negative
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,Acidibrevibacterium fodinaquatile,GCA_003352165,negative
133383,SK-11,"DSM 100508, NBRC 111227",1,Acidicapsa acidisoli,GCA_025685625,negative
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,Acidicapsa dinghuensis,GCA_025685685,negative
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,Acidicapsa ligni,GCA_025685655,negative
6149,V6,"DSM 14174, JCM 32253",1,Acidihalobacter aeolianus,GCA_001753165,negative
24820,V8,"DSM 14175, JCM 32254",1,Acidihalobacter ferrooxydans,GCA_001975725,negative
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,Acidimangrovimonas sediminis,GCA_002871005,negative
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,Acidimicrobium ferrooxidans,GCA_000023265,negative
12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,Acidipropionibacterium acidipropionici,GCA_000427845,positive
12634,4,"DSM 20272, ATCC 4875, NCDO 570, NCIB 8070, JCM 6432, IFO 12425, NBRC 12425, NCIMB 8070, VPI 10402, CIP 53.164",0,Acidipropionibacterium acidipropionici,GCA_000310065,positive
