ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Multicellular complex forming ability
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,Acaricomes phytoseiuli,GCA_000376245,0
16504,E 90,"DSM 43316, ATCC 29331, IFO 13972, NBRC 13972, NCIB 11120, JCM 3181, BCRC 12360, BCRC 16357, IMSNU 20325, KCTC 9431, NCIMB 11120",1,Acrocarpospora corrugata,GCA_009687845,0
16505,R-55,"DSM 44705, IFO 16266, JCM 10982, NBRC 16266, BCRC 16396",1,Acrocarpospora macrocephala,GCA_009687865,0
23319,PS33-18,"DSM 45867, BCC 46906, NBRC 108782",1,Acrocarpospora phusangensis,GCA_016862995,0
16506,R-31,"DSM 44706, IFO 16267, JCM 10983, NBRC 16267, BCRC 16801",1,Acrocarpospora pleiomorpha,GCA_009687885,0
13193,RMV-1378,"DSM 44848, JCM 12472, MTCC 6194, BCRC 16823, CBS 11706, CIP 109023, NBRC 102582, NCIMB 14384",1,Actinoalloteichus spitiensis,GCA_000239155,0
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,Actinocatenispora rupis,GCA_016861975,0
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,Actinocatenispora thailandica,GCA_016865425,0
159707,A251,"CGMCC 4.7421, JCM 32178",1,Actinocorallia populi,GCA_002995495,1
132014,OB1,"DSM 45618, ATCC BAA-2771",1,Actinocrinis puniceicyclus,GCA_018283645,1
132668,MI503-A4,"DSM 45934, NBRC 109632",1,Actinocrispum wychmicini,GCA_004345645,0
13511,03-9939,"DSM 45114, CCM 7461, KCTC 19294, JCM 17965, NBRC 106985",1,Actinokineospora alba,GCA_004362515,0
13199,,"DSM 44255, IFO 15665, JCM 9921, KCTC 9569, MTCC 2687, NBRC 15665, IMSNU 22098, NCIMB 13657, NRRL B-24047, VKM Ac-1984",1,Actinokineospora diospyrosa,GCA_024171925,0
13200,,"DSM 44256, IFO 15664, JCM 9922, KCTC 9570, MTCC 2686, NBRC 15664, NCIMB 13658, NRRL B-24048, VKM Ac-1981",1,Actinokineospora globicatena,GCA_024171945,0
13202,,"DSM 44258, IFO 15663, JCM 9923, KCTC 9571, MTCC 2685, NBRC 15663, NCIMB 13659, NRRL B-24050, VKM Ac-1982",1,Actinokineospora inagensis,GCA_000482865,0
