ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Kind of temperature,Temperature
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,Absicoccus porci,GCA_003725415,optimum,37
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,Abyssibacter profundi,GCA_003151135,optimum,37
132478,L81,"DSM 29592, JCM 30920",1,Vallitalea guaymasensis,GCA_003313305,optimum,37
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,Acanthopleuribacter pedis,GCA_017377855,optimum,30
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,Acaricomes phytoseiuli,GCA_000376245,optimum,25
164491,HSLZ-75,"JCM 33270, CICC 6269",1,Acetilactobacillus jinshanensis,GCA_004359375,optimum,35
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,Acetivibrio clariflavus,GCA_000237085,optimum,57.50
157972,N2K1,"DSM 107956, CECT 9704",1,Acetivibrio mesophilus,GCA_004102745,optimum,45
132679,GGR1,"DSM 101079, CECT 9155",1,Acetivibrio saccincola,GCA_002844395,optimum,60
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,Acetivibrio straminisolvens,GCA_000521465,optimum,52.50
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,Acetobacter oeni,GCA_011516825,optimum,28
21,CWBI-B418,"DSM 18889, LMG 23690",1,Acetobacter senegalensis,GCA_001580995,optimum,35
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,Acetomicrobium mobile,GCA_000266925,optimum,57.50
17778,RWcit2,"DSM 13490, ACM 5076",1,Acetomicrobium thermoterrenum,GCA_900107215,optimum,55
159212,N93,"DSM 106692, NCTC 14351, ATCC TSD-139",1,Acholeplasma equirhinis,GCA_017052655,optimum,36.00
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,Achromobacter aloeverae,GCA_004121055,optimum,33.50
168915,,"LMG 30378, CCUG 71558",1,Achromobacter veterisilvae,GCA_900496975,optimum,32.50
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,Acidibrevibacterium fodinaquatile,GCA_003352165,optimum,37
133383,SK-11,"DSM 100508, NBRC 111227",1,Acidicapsa acidisoli,GCA_025685625,optimum,27.50
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,Acidicapsa dinghuensis,GCA_025685685,optimum,27.50
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,Acidicapsa ligni,GCA_025685655,optimum,25.00
6149,V6,"DSM 14174, JCM 32253",1,Acidihalobacter aeolianus,GCA_001753165,optimum,36
24820,V8,"DSM 14175, JCM 32254",1,Acidihalobacter ferrooxydans,GCA_001975725,optimum,36
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,Acidimangrovimonas sediminis,GCA_002871005,optimum,34
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,Acidimicrobium ferrooxidans,GCA_000023265,optimum,47.50
158421,JS278,"DSM 106790, VTT E-113202",1,Acidipropionibacterium virtanenii,GCA_003325455,optimum,30
67,HS-AP3,"DSM 16009, JCM 10600",1,Acidisphaera rubrifaciens,GCA_000964365,optimum,32.50
160797,MG,"DSM 107098, JCM 33084",1,Acidithiobacillus ferrianus,GCA_010378095,optimum,29.00
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,Acidithiobacillus ferridurans,GCA_003966655,optimum,29
132357,M20,"DSM 100412, JCM 30830",1,Acidithiobacillus ferriphilus,GCA_018854775,optimum,30
159192,CJ-2,"DSM 105150, KCTC 4683",1,Acidithiobacillus sulfuriphilus,GCA_003721225,optimum,26.50
133033,PMMR2,"DSM 27394, LMG 28340",1,Acidobacterium ailaaui,GCA_000688455,optimum,40
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,Acidovorax kalamii,GCA_002245625,optimum,30
2905,N35,"DSM 23535, LMG 25767",1,Acidovorax radicis,GCA_000204195,optimum,30.0
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,Acidovorax soli,GCA_900107605,optimum,30
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,Acinetobacter beijerinckii,GCA_000369005,optimum,31
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,Acinetobacter indicus,GCA_000488255,optimum,28
133403,BRTC-1,"ACCC 19936, JCM 31367",1,Acinetobacter larvae,GCA_001704115,optimum,32.50
163942,GC2,"JCM 31073, DSM 26953",0,Acinetobacter mesopotamicus,GCA_011058205,optimum,27.50
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,Acinetobacter nectaris,GCA_000488215,optimum,27.50
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,Acinetobacter piscicola,GCA_002233755,optimum,26.50
164465,S23,"JCM 33150, KACC 19921",1,Acinetobacter pullicarnis,GCA_006352475,optimum,25
16504,E 90,"DSM 43316, ATCC 29331, IFO 13972, NBRC 13972, NCIB 11120, JCM 3181, BCRC 12360, BCRC 16357, IMSNU 20325, KCTC 9431, NCIMB 11120",1,Acrocarpospora corrugata,GCA_009687845,optimum,30
23319,PS33-18,"DSM 45867, BCC 46906, NBRC 108782",1,Acrocarpospora phusangensis,GCA_016862995,optimum,27.5
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,Actibacterium pelagium,GCA_002285415,optimum,30
141055,LS-811,"BCRC 80823, JCM 30681",1,Actibacterium ureilyticum,GCA_002285435,optimum,30
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,Actinoallomurus purpureus,GCA_024055795,optimum,22.5
