Genus,Class,Order,Family
Abiotrophia,Bacilli,Lactobacillales,Aerococcaceae
Abyssalbus,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Abyssibius,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Abyssicoccus,Bacilli,Bacillales,Abyssicoccaceae
Acaryochloris,Cyanophyceae,Acaryochloridales,Acaryochloridaceae
Aceticella,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae
Acetilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Acetivibrio,Clostridia,Eubacteriales,Oscillospiraceae
Acetoanaerobium,Clostridia,Peptostreptococcales,Filifactoraceae
Acetobacter,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Acetobacterium,Clostridia,Eubacteriales,Eubacteriaceae
Acetohalobium,Clostridia,Halanaerobiales,Halobacteroidaceae
Acholeplasma,Mollicutes,Acholeplasmatales,Acholeplasmataceae
Achromobacter,Betaproteobacteria,Burkholderiales,Alcaligenaceae
Acidaminococcus,Negativicutes,Acidaminococcales,Acidaminococcaceae
Acidianus,Thermoprotei,Sulfolobales,Sulfolobaceae
Acidibrevibacterium,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Acididesulfobacillus,Clostridia,Eubacteriales,Peptococcaceae
Acidiferrobacter,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae
Acidihalobacter,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae
Acidilobus,Thermoprotei,Acidilobales,Acidilobaceae
Acidilutibacter,Tissierellia,Tissierellales,Acidilutibacteraceae
Acidimicrobium,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae
Acidiphilium,Alphaproteobacteria,Acetobacterales,Acidocellaceae
Acidipropionibacterium,Actinomycetes,Propionibacteriales,Propionibacteriaceae
Acidisarcina,Terriglobia,Terriglobales,Acidobacteriaceae
Acidisoma,Alphaproteobacteria,Acetobacterales,Acidocellaceae
Acidithiobacillus,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae
Acidobacterium,Terriglobia,Terriglobales,Acidobacteriaceae
Acidocella,Alphaproteobacteria,Acetobacterales,Acidocellaceae
Acidothermus,Actinomycetes,Acidothermales,Acidothermaceae
Acidovorax,Betaproteobacteria,Burkholderiales,Comamonadaceae
Aciduricibacillus,Bacilli,Bacillales,Bacillaceae
Acinetobacter,Gammaproteobacteria,Moraxellales,Moraxellaceae
Actibacterium,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Actimicrobium,Betaproteobacteria,Burkholderiales,Oxalobacteraceae
Actinacidiphila,Actinomycetes,Kitasatosporales,Streptomycetaceae
Actinarchaeum,Halobacteria,Halobacteriales,Halobacteriaceae
Actinoallomurus,Actinomycetes,Streptosporangiales,Thermomonosporaceae
Actinoalloteichus,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae
Actinobacillus,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
Actinobaculum,Actinomycetes,Actinomycetales,Actinomycetaceae
Actinocatenispora,Actinomycetes,Micromonosporales,Micromonosporaceae
Actinokineospora,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae
Actinomadura,Actinomycetes,Streptosporangiales,Thermomonosporaceae
Actinomarinicola,Acidimicrobiia,Acidimicrobiales,Iamiaceae
Actinomyces,Actinomycetes,Actinomycetales,Actinomycetaceae
Actinomycetospora,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae
Actinoplanes,Actinomycetes,Micromonosporales,Micromonosporaceae
Actinopolyspora,Actinomycetes,Actinopolysporales,Actinopolysporaceae
Actinosynnema,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae
Actinotalea,Actinomycetes,Micrococcales,Cellulomonadaceae
Actinotignum,Actinomycetes,Actinomycetales,Actinomycetaceae
Actomonas,Opitutia,Opitutales,Opitutaceae
Acuticoccus,Alphaproteobacteria,Hyphomicrobiales,Amorphaceae
Adhaeretor,Planctomycetia,Pirellulales,Lacipirellulaceae
Adhaeribacter,Cytophagia,Cytophagales,Hymenobacteraceae
Adlercreutzia,Coriobacteriia,Eggerthellales,Eggerthellaceae
Advenella,Betaproteobacteria,Burkholderiales,Alcaligenaceae
Aedoeadaptatus,Tissierellia,Tissierellales,Peptoniphilaceae
Aegicerativicinus,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Aeoliella,Planctomycetia,Pirellulales,Lacipirellulaceae
Aequoribacter,Gammaproteobacteria,Cellvibrionales,Halieaceae
Aequorivita,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Aeribacillus,Bacilli,Bacillales,Bacillaceae
Aerococcus,Bacilli,Lactobacillales,Aerococcaceae
Aeromicrobium,Actinomycetes,Propionibacteriales,Nocardioidaceae
Aeromonas,Gammaproteobacteria,Aeromonadales,Aeromonadaceae
Aerophototrophica,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
Aeropyrum,Thermoprotei,Desulfurococcales,Desulfurococcaceae
Aerosticca,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae
Aestuariibaculum,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Aestuariibius,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Aestuariispira,Alphaproteobacteria,Rhodospirillales,Kiloniellaceae
Afifella,Alphaproteobacteria,Hyphomicrobiales,Afifellaceae
Afipia,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae
Agaribacterium,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
Agarilytica,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
Agarivorans,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
Agathobacter,Clostridia,Lachnospirales,Lachnospiraceae
Agathobaculum,Clostridia,Eubacteriales,Butyricicoccaceae
Aggregatibacter,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
Aggregatimonas,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Agreia,Actinomycetes,Micrococcales,Microbacteriaceae
Agrilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Agrilutibacter,Gammaproteobacteria,Lysobacterales,Lysobacteraceae
Agrobacterium,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae
Agrococcus,Actinomycetes,Micrococcales,Microbacteriaceae
Agromyces,Actinomycetes,Micrococcales,Microbacteriaceae
Ahniella,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae
Ahrensia,Alphaproteobacteria,Hyphomicrobiales,Ahrensiaceae
Akkermansia,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae
Alcaligenes,Betaproteobacteria,Burkholderiales,Alcaligenaceae
Alcanivorax,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae
Algibacter,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Algicella,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Algihabitans,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
Algimonas,Alphaproteobacteria,Maricaulales,Robiginitomaculaceae
Algirhabdus,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Algoriphagus,Cytophagia,Cytophagales,Cyclobacteriaceae
Aliamphritea,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
Aliarcobacter,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae
Alicycliphilus,Betaproteobacteria,Burkholderiales,Comamonadaceae
Alicyclobacillus,Bacilli,Bacillales,Alicyclobacillaceae
Aliiglaciecola,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
Aliirhizobium,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae
Aliiroseovarius,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Aliisedimentitalea,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Aliivibrio,Gammaproteobacteria,Vibrionales,Vibrionaceae
Alishewanella,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
Alistipes,Bacteroidia,Bacteroidales,Rikenellaceae
Alkalibacillus,Bacilli,Bacillales,Bacillaceae
Alkalibacter,Clostridia,Eubacteriales,Eubacteriaceae
Alkalibacterium,Bacilli,Lactobacillales,Carnobacteriaceae
Alkalicella,Clostridia,Eubacteriales,Proteinivoraceae
Alkalicoccus,Bacilli,Bacillales,Bacillaceae
Alkalihalobacillus,Bacilli,Bacillales,Bacillaceae
Alkalihalophilus,Bacilli,Bacillales,Bacillaceae
Alkalilimnicola,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae
Alkalimarinus,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
Alkaliphilus,Clostridia,Peptostreptococcales,Natronincolaceae
Alkalitalea,Bacteroidia,Marinilabiliales,Marinilabiliaceae
Alloacidobacterium,Terriglobia,Terriglobales,Acidobacteriaceae
Alloactinosynnema,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae
Alloalcanivorax,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae
Allobacillus,Bacilli,Bacillales,Bacillaceae
Allobaculum,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae
Allobranchiibius,Actinomycetes,Micrococcales,Dermacoccaceae
Allochromatium,Gammaproteobacteria,Chromatiales,Chromatiaceae
Allocoleopsis,Cyanophyceae,Coleofasciculales,Coleofasciculaceae
Allofrancisella,Gammaproteobacteria,Thiotrichales,Francisellaceae
Allohahella,Gammaproteobacteria,Oceanospirillales,Hahellaceae
Allomeiothermus,Deinococci,Thermales,Thermaceae
Allomuricauda,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Allorhizobium,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae
Allosaccharopolyspora,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae
Allotamlana,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Alloyangia,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Alsobacter,Alphaproteobacteria,Hyphomicrobiales,Alsobacteraceae
Alteracholeplasma,Mollicutes,Acholeplasmatales,Acholeplasmataceae
Altererythrobacter,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
Altericista,Cyanophyceae,Synechococcales,Unknown
Alteriqipengyuania,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
Alterisphingorhabdus,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae
Alteromonas,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
Alysiella,Betaproteobacteria,Neisseriales,Neisseriaceae
Amaricoccus,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Amedibacillus,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae
Amedibacterium,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae
Aminipila,Clostridia,Peptostreptococcales,Anaerovoracaceae
Aminirod,Synergistia,Synergistales,Aminiphilaceae
Aminithiophilus,Synergistia,Synergistales,Aminithiophilaceae
Aminobacter,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae
Aminobacterium,Synergistia,Synergistales,Aminobacteriaceae
Ammonifex,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae
Amniculibacterium,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Amphibacillus,Bacilli,Bacillales,Bacillaceae
Amphritea,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
Ampullimonas,Betaproteobacteria,Burkholderiales,Alcaligenaceae
Amycolatopsis,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae
Amygdalobacter,Clostridia,Eubacteriales,Oscillospiraceae
Amylibacter,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Amylolactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Anabaena,Cyanophyceae,Nostocales,Nostocaceae
Anaerobacillus,Bacilli,Bacillales,Bacillaceae
Anaerobutyricum,Clostridia,Lachnospirales,Lachnospiraceae
Anaerocellum,Unknown,Caldicellulosiruptorales,Caldicellulosiruptoraceae
Anaerococcus,Tissierellia,Tissierellales,Peptoniphilaceae
Anaerocolumna,Clostridia,Lachnospirales,Lachnospiraceae
Anaerofustis,Clostridia,Eubacteriales,Eubacteriaceae
Anaerohalosphaera,Phycisphaerae,Sedimentisphaerales,Anaerohalosphaeraceae
Anaerolinea,Anaerolineae,Anaerolineales,Anaerolineaceae
Anaeromicropila,Clostridia,Lachnospirales,Lachnospiraceae
Anaeromyxobacter,Myxococcia,Myxococcales,Anaeromyxobacteraceae
Anaeropeptidivorans,Clostridia,Lachnospirales,Lachnospiraceae
Anaerostipes,Clostridia,Lachnospirales,Lachnospiraceae
Anaerotignum,Clostridia,Lachnospirales,Anaerotignaceae
Anaerotruncus,Clostridia,Eubacteriales,Oscillospiraceae
Anaplasma,Alphaproteobacteria,Rickettsiales,Anaplasmataceae
Anatilimnocola,Planctomycetia,Pirellulales,Pirellulaceae
Ancylobacter,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae
Anderseniella,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae
Aneurinibacillus,Bacilli,Bacillales,Paenibacillaceae
Anoxybacillus,Bacilli,Bacillales,Anoxybacillaceae
Anoxybacter,Clostridia,Halanaerobiales,Unknown
Anoxybacterium,Clostridia,Peptostreptococcales,Anaerovoracaceae
Anoxybacteroides,Bacilli,Bacillales,Anoxybacillaceae
Anseongella,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae
Antarcticibacterium,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Antarcticirhabdus,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae
