ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Motility
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,Abiotrophia defectiva,GCA_000160075,0
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,Absicoccus porci,GCA_003725415,0
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,Abyssibacter profundi,GCA_003151135,1
132478,L81,"DSM 29592, JCM 30920",1,Vallitalea guaymasensis,GCA_003313305,1
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,Acanthopleuribacter pedis,GCA_017377855,1
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,Acaricomes phytoseiuli,GCA_000376245,0
164491,HSLZ-75,"JCM 33270, CICC 6269",1,Acetilactobacillus jinshanensis,GCA_004359375,0
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,Acetivibrio clariflavus,GCA_000237085,0
157972,N2K1,"DSM 107956, CECT 9704",1,Acetivibrio mesophilus,GCA_004102745,0
132679,GGR1,"DSM 101079, CECT 9155",1,Acetivibrio saccincola,GCA_002844395,0
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,Acetivibrio straminisolvens,GCA_000521465,0
2,L 40,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,Acetobacter aceti,GCA_000193495,0
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,Acetobacter cerevisiae,GCA_001580535,0
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,Acetobacter cibinongensis,GCA_000963925,0
23,"985, R-36330","DSM 19596, LMG 24244",1,Acetobacter fabarum,GCA_011516925,1
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,Acetobacter malorum,GCA_001580615,0
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,Acetobacter nitrogenifigens,GCA_000429165,1
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,Acetobacter oeni,GCA_011516825,1
